game,spot,hand,action,frequency
Kuhn,Player 0 opens,J,bet,0.24741192
Kuhn,Player 0 opens,Q,bet,0.00000000
Kuhn,Player 0 opens,K,bet,0.74392171
Kuhn,Player 1 faces opening bet,J,call,0.00000000
Kuhn,Player 1 faces opening bet,Q,call,0.33602511
Kuhn,Player 1 faces opening bet,K,call,1.00000000
One-card,Player 0 opens,1,bet,0.34682005
One-card,Player 0 opens,2,bet,0.30001680
One-card,Player 0 opens,3,bet,0.35582979
One-card,Player 0 opens,4,bet,0.00524704
One-card,Player 0 opens,5,bet,0.00000000
One-card,Player 0 opens,6,bet,0.00000000
One-card,Player 0 opens,7,bet,0.00000000
One-card,Player 0 opens,8,bet,0.00000000
One-card,Player 0 opens,9,bet,0.07775837
One-card,Player 0 opens,10,bet,0.58102999
One-card,Player 0 opens,11,bet,0.56431323
One-card,Player 0 opens,12,bet,0.56371373
One-card,Player 0 opens,13,bet,0.56377655
One-card,Player 1 faces opening bet,1,call,0.00000000
One-card,Player 1 faces opening bet,2,call,0.00000000
One-card,Player 1 faces opening bet,3,call,0.00001362
One-card,Player 1 faces opening bet,4,call,0.14056399
One-card,Player 1 faces opening bet,5,call,0.40309854
One-card,Player 1 faces opening bet,6,call,0.44695889
One-card,Player 1 faces opening bet,7,call,0.48337590
One-card,Player 1 faces opening bet,8,call,0.49359926
One-card,Player 1 faces opening bet,9,call,0.89060195
One-card,Player 1 faces opening bet,10,call,0.99999994
One-card,Player 1 faces opening bet,11,call,1.00000000
One-card,Player 1 faces opening bet,12,call,1.00000000
One-card,Player 1 faces opening bet,13,call,1.00000000
Leduc,Player 0 first round,J,bet,0.09587669
Leduc,Player 0 first round,Q,bet,0.79153474
Leduc,Player 0 first round,K,bet,0.75414807
Leduc,Player 1 after check,J,bet,0.32876300
Leduc,Player 1 after check,Q,bet,0.85542600
Leduc,Player 1 after check,K,bet,0.99991779
Leduc,K board after check-check,J,bet,0.08208577
Leduc,K board after check-check,Q,bet,0.43528267
Leduc,K board after check-check,K,bet,0.99980362
